antecedents,consequents,support,confidence,lift
"T4_Low, T2_Low",T3_Low,0.30220713073005095,0.9888888888888889,2.986951566951567
"T4_High, T2_High",T3_High,0.300509337860781,0.9725274725274726,2.864093406593407
"T4_Low, T3_Low",T2_Low,0.30220713073005095,0.9673913043478262,2.9220178372352286
T2_Low,T3_Low,0.3174872665534805,0.9589743589743589,2.8965943458251147
T3_Low,T2_Low,0.3174872665534805,0.9589743589743589,2.8965943458251147
"T3_Low, T2_Low",T4_Low,0.30220713073005095,0.9518716577540107,2.8459513016097073
"T3_High, T4_High",T2_High,0.300509337860781,0.946524064171123,2.7875133689839573
T3_Low,T4_Low,0.31239388794567063,0.9435897435897436,2.8211896394637512
"T3_High, T2_High",T4_High,0.300509337860781,0.9414893617021276,2.772686170212766
T3_High,T2_High,0.31918505942275044,0.9400000000000001,2.7683000000000004
T2_High,T3_High,0.31918505942275044,0.9400000000000001,2.7683000000000004
T3_High,T4_High,0.3174872665534805,0.935,2.753575
T4_High,T3_High,0.3174872665534805,0.935,2.753575
T4_Low,T3_Low,0.31239388794567063,0.934010152284264,2.8211896394637512
T1_High,T2_High,0.3140916808149406,0.9296482412060302,2.737814070351759
T2_High,T1_High,0.3140916808149406,0.9250000000000002,2.7378140703517593
T5_High,T4_High,0.3140916808149406,0.9250000000000002,2.724125000000001
T4_High,T5_High,0.3140916808149406,0.9250000000000002,2.724125000000001
T2_Low,T4_Low,0.30560271646859083,0.923076923076923,2.759859429910191
T1_Low,T2_Low,0.30390492359932086,0.9179487179487178,2.772675871137409
T2_Low,T1_Low,0.30390492359932086,0.9179487179487178,2.772675871137409
T4_Low,T2_Low,0.30560271646859083,0.9137055837563451,2.759859429910191
T3_Low,"T4_Low, T2_Low",0.30220713073005095,0.9128205128205128,2.986951566951567
T2_Low,"T4_Low, T3_Low",0.30220713073005095,0.9128205128205128,2.9220178372352286
T9_High,T10_High,0.3089983022071307,0.9099999999999999,2.67995
T10_High,T9_High,0.3089983022071307,0.9099999999999999,2.67995
T2_High,T4_High,0.3089983022071307,0.9099999999999999,2.67995
T4_High,T2_High,0.3089983022071307,0.9099999999999999,2.67995
T10_Low,T9_Low,0.300509337860781,0.9076923076923077,2.7138617727450214
T5_Low,T4_Low,0.300509337860781,0.9076923076923077,2.7138617727450214
T8_High,T9_High,0.30390492359932086,0.904040404040404,2.66239898989899
T4_Low,"T3_Low, T2_Low",0.30220713073005095,0.9035532994923858,2.8459513016097073
T9_Low,T10_Low,0.300509337860781,0.8984771573604061,2.7138617727450214
T4_Low,T5_Low,0.300509337860781,0.8984771573604061,2.7138617727450214
T9_High,T8_High,0.30390492359932086,0.895,2.66239898989899
T5_High,T3_High,0.30220713073005095,0.8900000000000001,2.6210500000000003
T3_High,T5_High,0.30220713073005095,0.8900000000000001,2.6210500000000003
T3_High,"T4_High, T2_High",0.300509337860781,0.885,2.864093406593407
T4_High,"T3_High, T2_High",0.300509337860781,0.885,2.772686170212766
T2_High,"T3_High, T4_High",0.300509337860781,0.885,2.7875133689839573
